Severity,Detected By,Issue Type,File,Line,What This Means
High,Code Scanner,ai-debt-empty-catch-block-js,bin/aidebt-scan.js,259,"Empty catch block. AI-generated code frequently wraps calls in try/catch to ""make the error go away"" without handling or surfacing the failure — a hallmark of unreviewed AI output."
High,Code Scanner,ai-debt-empty-catch-block-js,bin/aidebt-scan.js,288,"Empty catch block. AI-generated code frequently wraps calls in try/catch to ""make the error go away"" without handling or surfacing the failure — a hallmark of unreviewed AI output."
High,Code Scanner,ai-debt-empty-catch-block-js,bin/aidebt-scan.js,343,"Empty catch block. AI-generated code frequently wraps calls in try/catch to ""make the error go away"" without handling or surfacing the failure — a hallmark of unreviewed AI output."
High,Code Scanner,ai-debt-empty-catch-block-js,bin/aidebt-scan.js,358,"Empty catch block. AI-generated code frequently wraps calls in try/catch to ""make the error go away"" without handling or surfacing the failure — a hallmark of unreviewed AI output."
High,Code Scanner,ai-debt-empty-catch-block-js,bin/aidebt-scan.js,386,"Empty catch block. AI-generated code frequently wraps calls in try/catch to ""make the error go away"" without handling or surfacing the failure — a hallmark of unreviewed AI output."
High,Code Scanner,ai-debt-flask-cors-wildcard,rules/09-java-spring-smells.yml,46,"Flask-CORS configured with a wildcard origin. Common AI shortcut to silence a browser CORS error during development; if this is an authenticated API, wildcard origins undermine cookie/credential protections."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,414,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,415,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,416,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,418,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,425,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,440,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,443,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,444,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,445,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,446,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,447,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
