Severity,Detected By,Issue Type,File,Line,What This Means
High,Code Scanner,ai-debt-empty-catch-block-js,bin/aidebt-scan.js,149,"Empty catch block. AI-generated code frequently wraps calls in try/catch to ""make the error go away"" without handling or surfacing the failure — a hallmark of unreviewed AI output."
High,Code Scanner,ai-debt-empty-catch-block-js,bin/aidebt-scan.js,178,"Empty catch block. AI-generated code frequently wraps calls in try/catch to ""make the error go away"" without handling or surfacing the failure — a hallmark of unreviewed AI output."
High,Code Scanner,ai-debt-empty-catch-block-js,bin/aidebt-scan.js,209,"Empty catch block. AI-generated code frequently wraps calls in try/catch to ""make the error go away"" without handling or surfacing the failure — a hallmark of unreviewed AI output."
High,Code Scanner,ai-debt-empty-catch-block-js,bin/aidebt-scan.js,268,"Empty catch block. AI-generated code frequently wraps calls in try/catch to ""make the error go away"" without handling or surfacing the failure — a hallmark of unreviewed AI output."
High,Code Scanner,ai-debt-empty-catch-block-js,bin/aidebt-scan.js,283,"Empty catch block. AI-generated code frequently wraps calls in try/catch to ""make the error go away"" without handling or surfacing the failure — a hallmark of unreviewed AI output."
High,Code Scanner,ai-debt-empty-catch-block-js,lib/pdf-export.js,24,"Empty catch block. AI-generated code frequently wraps calls in try/catch to ""make the error go away"" without handling or surfacing the failure — a hallmark of unreviewed AI output."
High,Code Scanner,ai-debt-flask-cors-wildcard,rules/09-java-spring-smells.yml,46,"Flask-CORS configured with a wildcard origin. Common AI shortcut to silence a browser CORS error during development; if this is an authenticated API, wildcard origins undermine cookie/credential protections."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,304,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,305,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,306,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,308,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,315,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,330,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,333,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,334,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,335,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,336,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
