File,Only Ever Edited By,What This Means
action.yml,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
bin/aidebt-scan.js,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
docs/USAGE.md,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
scripts/score.js,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
scripts/git-mine.js,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
scripts/test-config-integration.js,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
CONTRIBUTING.md,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
skills/ai-debt-audit/SKILL.md,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
.claude-plugin/plugin.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
package.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
docs/WHAT_IT_CATCHES.md,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
CALIBRATION_50_REPOS.md,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/caddyserver_caddy.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/calcom_cal.com.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/encode_django-rest-framework.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/forem_forem.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/gin-gonic_gin.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/gofiber_fiber.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/gothinkster_realworld.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/miguelgrinberg_flasky.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/pallets_flask.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/shadcn-ui_taxonomy.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/spring-projects_spring-petclinic.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
